epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.8422389626502991,0.9192599654197693,1543.0,1935.0,0.36221030354499817,0.8304861783981323,0.8600199818611145,9088.0,9480.0,0.9016333818435669,0.9643122553825378,101.0,170.0,0.24937741458415985,0.8836413621902466,0.9274425506591797,1193.0,1291.0
1,0.9110949635505676,0.9639836549758911,828.0,1132.0,0.23486106097698212,0.9000617861747742,0.9248843193054199,9891.0,10195.0,0.8860254287719727,0.9401817321777344,153.0,161.0,0.33086735010147095,0.8850820660591125,0.8901650905609131,1201.0,1240.0
2,0.9328676462173462,0.9759283661842346,626.0,854.0,0.18859520554542542,0.9241158962249756,0.943225085735321,10166.0,10400.0,0.9295825958251953,0.9681004881858826,102.0,92.0,0.22981971502304077,0.9336219429969788,0.9269341230392456,1267.0,1294.0
3,0.9455230236053467,0.9843489527702332,511.0,690.0,0.15158453583717346,0.9384148716926575,0.9536507725715637,10331.0,10514.0,0.9524500966072083,0.9845099449157715,33.0,98.0,0.1519358605146408,0.9329226613044739,0.9763610363006592,1261.0,1363.0
4,0.9526444673538208,0.9874497056007385,445.0,599.0,0.13360002636909485,0.9464077949523926,0.9596298933029175,10424.0,10578.0,0.603992760181427,0.9104039669036865,1035.0,56.0,0.6162121295928955,0.8637469410896301,0.25539568066596985,1309.0,355.0
5,0.9559103846549988,0.9882352948188782,387.0,585.0,0.1272803246974945,0.9478795528411865,0.9649011492729187,10435.0,10639.0,0.9528130888938904,0.9876173138618469,50.0,80.0,0.1334654837846756,0.9438990354537964,0.9641833901405334,1279.0,1346.0
6,0.9620339274406433,0.9925137758255005,336.0,501.0,0.10250133275985718,0.9552198648452759,0.9695183038711548,10522.0,10687.0,0.9473684430122375,0.9852364659309387,73.0,72.0,0.15546493232250214,0.9483129978179932,0.9476327300071716,1289.0,1321.0
7,0.9742810726165771,0.9955851435661316,230.0,337.0,0.07456671446561813,0.9697214961051941,0.9791345596313477,10686.0,10793.0,0.9295825958251953,0.9842026233673096,150.0,44.0,0.19249066710472107,0.9657853841781616,0.892241358757019,1319.0,1242.0
8,0.9757325649261475,0.9963011145591736,208.0,327.0,0.06980182975530624,0.9706568717956543,0.981133759021759,10694.0,10817.0,0.9353901743888855,0.9792102575302124,40.0,138.0,0.23432116210460663,0.9071332216262817,0.9711815714836121,1229.0,1348.0
9,0.9816746711730957,0.9983930587768555,173.0,231.0,0.04900703206658363,0.9791516065597534,0.9843041300773621,10793.0,10849.0,0.9430127143859863,0.9775392413139343,87.0,70.0,0.2216121107339859,0.9489423632621765,0.9373198747634888,1297.0,1301.0
10,0.9872085452079773,0.9989733099937439,121.0,161.0,0.0352473258972168,0.9854496121406555,0.9890249371528625,10860.0,10904.0,0.9484573602676392,0.9788124561309814,76.0,66.0,0.20419804751873016,0.9522431492805481,0.9454023241996765,1297.0,1316.0
11,0.9932867884635925,0.9996891617774963,64.0,84.0,0.021015670150518417,0.992394745349884,0.9941949844360352,10937.0,10961.0,0.9564428329467773,0.98176109790802,58.0,62.0,0.20591019093990326,0.9557458758354187,0.9584824442863464,1296.0,1339.0
12,0.992833137512207,0.9993225932121277,81.0,77.0,0.022918658331036568,0.9930139780044556,0.9926537275314331,10943.0,10945.0,0.9295825958251953,0.9750893712043762,134.0,60.0,0.24738723039627075,0.9543378949165344,0.9034582376480103,1307.0,1254.0
13,0.9929239153862,0.9993777275085449,77.0,79.0,0.021336635574698448,0.9928337931632996,0.9930139780044556,10945.0,10945.0,0.9343012571334839,0.9704002141952515,59.0,122.0,0.2772543430328369,0.916151225566864,0.9576149582862854,1241.0,1333.0
14,0.9910187721252441,0.9988774061203003,92.0,106.0,0.026708709076046944,0.9903994202613831,0.9916568398475647,10913.0,10935.0,0.9477313756942749,0.9779713749885559,78.0,66.0,0.2212575376033783,0.9520000219345093,0.9437634944915771,1302.0,1309.0
15,0.9957361817359924,0.9996441006660461,45.0,49.0,0.014578419737517834,0.9955575466156006,0.9959187507629395,10971.0,10981.0,0.9462794661521912,0.9744418859481812,58.0,90.0,0.2643924057483673,0.9369747638702393,0.9584527015686035,1269.0,1338.0
16,0.9958269000053406,0.9996970891952515,47.0,45.0,0.013794961385428905,0.995916485786438,0.9957358241081238,10979.0,10975.0,0.950272262096405,0.9799094796180725,57.0,80.0,0.22647511959075928,0.9436222910881042,0.9591690301895142,1279.0,1339.0
17,0.9956454634666443,0.9996665716171265,46.0,50.0,0.01356949470937252,0.9954656958580017,0.9958269000053406,10973.0,10977.0,0.9495462775230408,0.9780194759368896,42.0,97.0,0.2576138973236084,0.9329647421836853,0.9698275923728943,1266.0,1350.0
18,0.9965526461601257,0.9997800588607788,35.0,41.0,0.011105694808065891,0.9962828755378723,0.996825098991394,10981.0,10989.0,0.9470054507255554,0.9766223430633545,30.0,116.0,0.299673467874527,0.9215155839920044,0.9784482717514038,1247.0,1362.0
